Tipo;Indicadores;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Status
Indicadores_Ec_Fin;VPA;35.74668493;40.47106267;45.34425532;50.8526971;54.37521368;57.99245283;64.52666084;78.99958738;10.448;9.309259259;8.928765208;8.563822954;8.213796856;7.878077251;7.556079394;CAGR_RUIM
Indicadores_Ec_Fin;P/VP;0.236945049;0.309851019;0.24633771;0.177375056;0.095080086;0.120877798;0.271515677;0.251267135;2.270290965;1.601631192;1.718460421;1.84381163;1.978306446;2.122611839;2.27744343;CAGR_BOM
Indicadores_Ec_Fin;P/EBIT;0.017645833;0.024831683;0.019493892;0.014249605;0.010907173;0.017351485;0.019707537;0.014068037;0.029320148;-0.480967742;-0.099861696;-0.053208771;-0.035102592;-0.025529996;-0.019639426;CAGR_RUIM
Indicadores_Ec_Fin;P/EBITDA;0.014044804;0.019174312;0.014953146;0.010687204;0.007131034;0.01015942;0.009860362;0.007038261;0.014670175;0.030243408;0.033943412;0.039146914;0.046917175;0.059633649;0.083939007;CAGR_BOM
Indicadores_Ec_Fin;P/Ativos;0.142933428;0.184595206;0.146466873;0.094793099;0.04583639;0.056618409;0.136931537;0.118267352;0.941120457;0.582337625;0.624951207;0.670537587;0.719449215;0.771928649;0.828236137;CAGR_BOM
Indicadores_Ec_Fin;Ebitda;603.07;654;747;844;725;690;1776.811;2820.299;1616.886;493;452.0385155;403.3543073;346.342407;280.4138311;205.0124728;CAGR_RUIM
Indicadores_Ec_Fin;Margem Ebitda;0.197987525;0.18448519;0.18358319;0.178510998;0.131650626;0.116534369;0.275731068;0.39214391;0.207080686;0.078943155;0.06736941;0.055949183;0.044712862;0.033693488;0.022926965;CAGR_RUIM
Indicadores_Ec_Fin;PSR;0.174091602;0.220785239;0.171267973;0.119112903;0.058529416;0.073820996;0.169591961;0.172204631;1.518954918;1.289255404;1.383298725;1.484201932;1.592465413;1.708626055;1.833259907;CAGR_BOM
Indicadores_Ec_Fin;ROE;0.163092046;0.145288994;0.1495228;0.151811024;0.103539823;0.087942478;0.142111801;0.250760803;0.113897397;-0.005370997;-0.036855624;-0.069966951;-0.105004732;-0.142325008;-0.182351711;CAGR_RUIM
Indicadores_Ec_Fin;ROA;98.38274933;86.55660377;88.90290038;81.13112271;49.91467577;41.19170984;71.67021676;118.0290298;47.21472782;-1.952842471;-13.40325716;-25.44482826;-38.18699171;-51.75922848;-66.31570938;CAGR_RUIM
Indicadores_Ec_Fin;ROIC;0.149253731;0.142133408;0.139585871;0.1235363;0.080653395;0.063984796;0.133183521;0.160505062;0.077773505;-0.003292618;-0.01519392;-0.027312319;-0.039652964;-0.052220031;-0.065017779;CAGR_RUIM
Indicadores_Ec_Fin;EV/EBIT;0.498506289;1.225116185;0.923018116;0.19299495;-0.933920903;-0.49481654;0.647750956;0.183200361;13.10754017;-236.916129;-59.25450399;-35.41474955;-26.20468289;-21.37431939;-18.43901826;CAGR_RUIM
Indicadores_Ec_Fin;EV/EBITDA;0.396774867;0.945999501;0.708017912;0.144746212;-0.610591046;-0.28971867;0.324092208;0.091655427;6.558285494;14.89736308;20.14085608;26.05544393;35.02446995;49.92670759;78.80845828;CAGR_BOM
Indicadores_Ec_Fin;Valorização;-0.4;0.480519481;-0.109250399;-0.192479857;-0.426829268;0.35589942;1.499286733;0.132990868;0.194962217;-0.371416526;0.029089847;0.029089847;0.029089847;0.029089847;0.029089847;CAGR_RUIM
Indicadores_Ec_Fin;Negócios diário;1.495;1.323;2.542;2.58;1.912;816;3.766;6.779;15.909;49.944;70.9361371;100.7515527;143.0987897;203.2451419;288.6718175;CAGR_BOM
Indicadores_Ec_Fin;Volume diário;9;6;7;7;3;7;78;189;320;882;1395.054559;2206.550139;3490.088244;5520.253419;8731.354534;CAGR_BOM
Indicadores_Ec_Fin;Valor de Mercado;530283018.9;782683673.5;696889380.5;563165803.1;322321492;437094117.6;1092850600;1238495709;11860000000;8.05E+09;9.28E+09;1.07E+10;1.23E+10;1.42E+10;1.64E+10;CAGR_BOM
Indicadores_Ec_Fin;Valor da Firma;239283018.9;618683673.5;528889380.5;122165803.1;-442678508;-199905882.4;575850599.8;258495709.2;10604000000;7.34E+09;9.10E+09;1.05E+10;1.21E+10;1.40E+10;1.62E+10;CAGR_BOM
