Tipo;Indicadores;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Status
Indicadores_Ec_Fin;P/Ativos;4.02413273;5.490254405;3.754072409;3.013571796;2.190366182;2.451343353;4.671941899;4.771833529;4.126759456;2.407485876;2.354345993;2.299127107;2.245203326;2.192544275;2.14112029;CAGR_RUIM
Indicadores_Ec_Fin;Ebitda;118;136;159;161;165;177;206;232;303;173;180.4303075;190.9596882;206.6834304;230.6790353;267.3972703;CAGR_BOM
Indicadores_Ec_Fin;Margem Ebitda;0.174041298;0.158139535;0.165280665;0.153041825;0.147321429;0.142857143;0.151470588;0.152031455;0.180464562;0.108805031;0.104206695;0.10127706;0.10066032;0.103167767;0.109818657;CAGR_RUIM
Indicadores_Ec_Fin;PSR;3.027002496;4.060234653;2.743360606;2.280231131;1.668198529;1.794486216;3.603578715;3.267736591;3.472966713;4.288050314;4.187478282;4.089265069;3.99335535;3.8996951;3.80823156;CAGR_BOM
Indicadores_Ec_Fin;ROE;0.239583333;0.216335541;0.214007782;0.196180556;0.196110211;0.176382661;0.233433735;0.202531646;0.219839142;0.037091988;0.020358246;0.001689665;-0.018897117;-0.041430669;-0.06595443;CAGR_RUIM
Indicadores_Ec_Fin;ROA;180.3921569;154.0880503;156.4722617;141.959799;141.852286;130.0992282;147.7597712;137.7990431;116.0651097;17.65536723;9.696802352;0.804801373;-9.000854301;-19.73377321;-31.4146453;CAGR_RUIM
Indicadores_Ec_Fin;ROIC;0.38;0.323308271;0.305785124;0.281368821;0.25177305;0.25542571;0.286184211;0.274285714;0.223552894;0.049145299;0.03490441;0.019468856;0.002888385;-0.014895529;-0.033944612;CAGR_RUIM
Indicadores_Ec_Fin;EV/EBIT;16.81848853;26.23102172;17.2440061;15.52569696;12.43931234;13.64293086;27.26935087;25.32586478;25.59871032;73.31521739;101.4868805;177.6551614;1169.202414;-221.3674276;-94.84666568;CAGR_RUIM
Indicadores_Ec_Fin;EV/EBITDA;16.24837027;24.8808956;16.05102455;14.27206925;10.70534759;11.79304193;23.0333352;20.95933637;18.92445911;38.98843931;39.93689772;40.12240183;39.41542385;37.54960541;34.44264833;CAGR_BOM
Indicadores_Ec_Fin;Valorização;-0.4;0.704741379;-0.247787611;-0.093781513;-0.221068249;0.193333333;1.182761373;0.006581353;0.162368325;0.0653125;0.056912423;0.056912423;0.056912423;0.056912423;0.056912423;CAGR_RUIM
Indicadores_Ec_Fin;Negócios diário;1.495;1.323;2.542;2.58;1.912;816;3.766;6.779;15.909;49.944;70.9361371;100.7515527;143.0987897;203.2451419;288.6718175;CAGR_BOM
Indicadores_Ec_Fin;Volume diário;9;6;7;7;3;7;78;189;320;882;1395.054559;2206.550139;3490.088244;5520.253419;8731.354534;CAGR_BOM
Indicadores_Ec_Fin;Valor de Mercado;2052307692;3491801802;2639112903;2398803150;1868382353;2223368421;4900867052;4986566038;5831111111;6.82E+09;7.25E+09;7.71E+09;8.20E+09;8.72E+09;9.27E+09;CAGR_BOM
Indicadores_Ec_Fin;Valor da Firma;1917307692;3383801802;2552112903;2297803150;1766382353;2087368421;4744867052;4862566038;5734111111;6.75E+09;7.21E+09;7.66E+09;8.15E+09;8.66E+09;9.21E+09;CAGR_BOM
